Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,73,124
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,135,252
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,1,201,380
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,267,510
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,324,651
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,1,388,783
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,452,912
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,516,1043
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,1,585,1172
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,645,1311
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,711,1439
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,785,1557
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,845,1692
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,916,1819
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,1,973,1959
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1041,2087
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,1,1092,2232
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,1,1153,2366
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,1217,2497
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,1,1282,2629
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,1348,2761
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,1413,2889
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,1473,3026
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,1536,3159
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,1610,3283
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,1,1672,3418
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,1725,3559
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1798,3682
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,1859,3816
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1925,3943
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1996,4069
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,2060,4196
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,2121,4332
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,2183,4468
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,2250,4594
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,1,2330,4710
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,2397,4840
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,2463,4967
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,1,2537,5087
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,2596,5225
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,2664,5355
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,1,2725,5488
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,2785,5628
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,1,2855,5749
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,2911,5889
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,2975,6021
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,3039,6152
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,1,3118,6267
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,1,3188,6396
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,3248,6533
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,1,3306,6672
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,3365,6808
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,3431,6940
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,1,3483,7083
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,3553,7208
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,3614,7343
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,3666,7486
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,3722,7627
