Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,3293,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,3417,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,3542,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,3662,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,3785,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,3904,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,4026,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,4147,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,4269,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,4391,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,4512,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,4635,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,4759,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,4882,0
