Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,97,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,196,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,296,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,393,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,490,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,590,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,688,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,785,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,883,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,980,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,1074,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1172,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1269,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1368,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1466,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,1562,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1660,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1759,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1855,0
