Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,186,300
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,371,606
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,570,899
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,760,1192
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,945,1493
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,1128,1794
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,1322,2087
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,1502,2396
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,1694,2688
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,1875,3002
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,2053,3309
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,2246,3608
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,2425,3916
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,2608,4228
