Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,195,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,390,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,584,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,780,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,976,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,1174,0
