Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,194,297
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,392,585
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,586,870
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,780,1169
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,970,1473
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,1162,1770
