Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,96,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,195,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,291,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,390,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,489,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,585,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,682,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,781,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,877,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,978,0
