Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,96,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,194,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,289,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,386,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,484,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,579,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,678,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,776,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,874,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,971,0
