Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,158,331
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,328,645
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,485,978
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,671,1281
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,834,1607
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,977,1950
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,1145,2268
