Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,1,130,61
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,1,259,130
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,384,198
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,521,258
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,643,331
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,771,401
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,893,472
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,1030,531
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1141,612
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1275,673
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1404,742
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,1,1531,813
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,1,1663,875
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,1,1791,942
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1909,1021
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,2042,1085
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,2174,1150
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,1,2301,1218
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,2431,1284
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,1,2557,1351
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,2677,1428
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,2802,1499
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,1,2937,1556
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,3064,1624
