Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,62,134
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,133,260
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,201,388
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,275,510
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,336,644
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,393,782
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,462,904
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,524,1042
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,584,1176
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,639,1316
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,700,1455
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,760,1589
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,823,1722
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,888,1853
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,957,1978
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,1022,2107
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,1092,2232
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,1172,2346
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,1233,2478
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,1300,2609
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,1368,2739
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,1429,2876
