Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,133,58
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,261,126
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,395,188
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,540,241
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,664,313
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,797,376
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,934,437
