Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,128,64
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,265,123
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,404,180
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,535,239
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,1,672,300
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,797,370
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,1,926,438
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,1,1048,510
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,1,1172,583
