Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,193,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,388,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,580,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,780,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,974,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,1172,0
