Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,94,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,192,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,287,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,385,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,482,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,578,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,675,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,774,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,871,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,970,0
