Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,55,138
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,122,266
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,190,391
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,255,520
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,325,645
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,384,783
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,449,908
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,516,1037
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,578,1171
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,638,1305
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,707,1434
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,772,1559
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,846,1678
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,910,1815
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,973,1946
